Dataset Version,Generated Date,Source SHA256,ID Perfil,Peso,Calce de Zapato,Actividad,Foco de Dolor,Sistema Recomendado,Justificación Técnica
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-001,<80 kg,Amplio/Bota,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-002,80-110 kg,Amplio/Bota,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-003,>110 kg,Amplio/Bota,Laboral +8h (Concreto),Fatiga muscular,GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-004,80-110 kg,Amplio/Bota,Alta movilidad/Deporte,Dolor espalda/Postural,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-005,80-110 kg,Amplio/Bota,Laboral +8h (Concreto),Fatiga muscular,GOLIATH,Arquitectura robusta para calzado con mucho espacio interno.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-006,80-110 kg,Estándar/Casual,Laboral +8h (Concreto),Dolor espalda/Postural,ORBIS,Soporte de arco constante para salud postural y eliminación de fatiga en jornadas largas.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-007,>110 kg,Estándar/Casual,Laboral +8h (Concreto),Inestabilidad/Arco,ORBIS,Soporte de arco constante para salud postural y eliminación de fatiga en jornadas largas.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-008,<80 kg,Estándar/Casual,Alta movilidad/Deporte,Inestabilidad/Arco,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-009,80-110 kg,Amplio/Bota,Urbano diario,Impacto (Rodilla/Cadera),GOLIATH,Escudo molecular PORON® XRD® para absorción de impacto extremo.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-010,>110 kg,Amplio/Bota,Laboral +8h (Concreto),Impacto (Rodilla/Cadera),GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-011,<80 kg,Amplio/Bota,Alta movilidad/Deporte,Inestabilidad/Arco,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-012,<80 kg,Estrecho/Slim,Laboral +8h (Concreto),Fatiga muscular,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-013,>110 kg,Estándar/Casual,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-014,<80 kg,Estrecho/Slim,Urbano diario,Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-015,80-110 kg,Estándar/Casual,Laboral +8h (Concreto),Impacto (Rodilla/Cadera),ORBIS,Soporte de arco constante para salud postural y eliminación de fatiga en jornadas largas.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-016,80-110 kg,Amplio/Bota,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-017,80-110 kg,Amplio/Bota,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-018,<80 kg,Amplio/Bota,Urbano diario,Fatiga muscular,GOLIATH,Arquitectura robusta para calzado con mucho espacio interno.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-019,<80 kg,Estrecho/Slim,Laboral +8h (Concreto),Fatiga muscular,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-020,<80 kg,Estándar/Casual,Urbano diario,Inestabilidad/Arco,ORBIS,Equilibrio ideal de confort y estabilidad para uso diario estándar.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-021,<80 kg,Estrecho/Slim,Laboral +8h (Concreto),Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-022,80-110 kg,Estrecho/Slim,Urbano diario,Fatiga muscular,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-023,<80 kg,Estándar/Casual,Urbano diario,Inestabilidad/Arco,ORBIS,Equilibrio ideal de confort y estabilidad para uso diario estándar.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-024,>110 kg,Estándar/Casual,Laboral +8h (Concreto),Fatiga muscular,ORBIS,Soporte de arco constante para salud postural y eliminación de fatiga en jornadas largas.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-025,>110 kg,Estrecho/Slim,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-026,<80 kg,Estrecho/Slim,Urbano diario,Fatiga muscular,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-027,80-110 kg,Amplio/Bota,Urbano diario,Dolor espalda/Postural,ORBIS,Soporte de arco constante para salud postural y eliminación de fatiga en jornadas largas.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-028,80-110 kg,Estrecho/Slim,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-029,>110 kg,Amplio/Bota,Urbano diario,Impacto (Rodilla/Cadera),GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-030,80-110 kg,Amplio/Bota,Urbano diario,Fatiga muscular,GOLIATH,Arquitectura robusta para calzado con mucho espacio interno.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-031,80-110 kg,Amplio/Bota,Alta movilidad/Deporte,Dolor espalda/Postural,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-032,80-110 kg,Estrecho/Slim,Laboral +8h (Concreto),Dolor espalda/Postural,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-033,80-110 kg,Estándar/Casual,Alta movilidad/Deporte,Inestabilidad/Arco,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-034,80-110 kg,Estándar/Casual,Urbano diario,Inestabilidad/Arco,ORBIS,Equilibrio ideal de confort y estabilidad para uso diario estándar.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-035,>110 kg,Amplio/Bota,Urbano diario,Dolor espalda/Postural,GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-036,<80 kg,Amplio/Bota,Laboral +8h (Concreto),Fatiga muscular,GOLIATH,Arquitectura robusta para calzado con mucho espacio interno.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-037,<80 kg,Amplio/Bota,Alta movilidad/Deporte,Fatiga muscular,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-038,<80 kg,Estándar/Casual,Urbano diario,Fatiga muscular,ORBIS,Equilibrio ideal de confort y estabilidad para uso diario estándar.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-039,>110 kg,Amplio/Bota,Laboral +8h (Concreto),Fatiga muscular,GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-040,<80 kg,Amplio/Bota,Urbano diario,Inestabilidad/Arco,GOLIATH,Arquitectura robusta para calzado con mucho espacio interno.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-041,80-110 kg,Estrecho/Slim,Urbano diario,Inestabilidad/Arco,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-042,>110 kg,Estrecho/Slim,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-043,80-110 kg,Estándar/Casual,Urbano diario,Inestabilidad/Arco,ORBIS,Equilibrio ideal de confort y estabilidad para uso diario estándar.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-044,80-110 kg,Estrecho/Slim,Laboral +8h (Concreto),Dolor espalda/Postural,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-045,>110 kg,Estrecho/Slim,Urbano diario,Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-046,>110 kg,Estándar/Casual,Urbano diario,Inestabilidad/Arco,ORBIS,Equilibrio ideal de confort y estabilidad para uso diario estándar.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-047,80-110 kg,Amplio/Bota,Urbano diario,Impacto (Rodilla/Cadera),GOLIATH,Escudo molecular PORON® XRD® para absorción de impacto extremo.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-048,<80 kg,Estándar/Casual,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-049,80-110 kg,Estrecho/Slim,Alta movilidad/Deporte,Inestabilidad/Arco,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-050,>110 kg,Estándar/Casual,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
