Dataset Version,Generated Date,Source SHA256,ID Perfil,Peso,Calce de Zapato,Actividad,Foco de Dolor,Sistema Recomendado,Justificación Técnica
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-051,80-110 kg,Estándar/Casual,Alta movilidad/Deporte,Dolor espalda/Postural,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-052,<80 kg,Estándar/Casual,Urbano diario,Dolor espalda/Postural,ORBIS,Soporte de arco constante para salud postural y eliminación de fatiga en jornadas largas.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-053,>110 kg,Amplio/Bota,Urbano diario,Fatiga muscular,GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-054,<80 kg,Estrecho/Slim,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-055,>110 kg,Estándar/Casual,Urbano diario,Inestabilidad/Arco,ORBIS,Equilibrio ideal de confort y estabilidad para uso diario estándar.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-056,80-110 kg,Amplio/Bota,Alta movilidad/Deporte,Inestabilidad/Arco,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-057,>110 kg,Estrecho/Slim,Alta movilidad/Deporte,Inestabilidad/Arco,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-058,<80 kg,Estándar/Casual,Laboral +8h (Concreto),Fatiga muscular,ORBIS,Soporte de arco constante para salud postural y eliminación de fatiga en jornadas largas.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-059,>110 kg,Estrecho/Slim,Alta movilidad/Deporte,Fatiga muscular,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-060,80-110 kg,Amplio/Bota,Alta movilidad/Deporte,Fatiga muscular,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-061,>110 kg,Amplio/Bota,Alta movilidad/Deporte,Dolor espalda/Postural,GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-062,80-110 kg,Estrecho/Slim,Urbano diario,Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-063,<80 kg,Amplio/Bota,Alta movilidad/Deporte,Inestabilidad/Arco,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-064,<80 kg,Estándar/Casual,Urbano diario,Inestabilidad/Arco,ORBIS,Equilibrio ideal de confort y estabilidad para uso diario estándar.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-065,<80 kg,Estrecho/Slim,Laboral +8h (Concreto),Fatiga muscular,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-066,>110 kg,Estrecho/Slim,Urbano diario,Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-067,<80 kg,Estándar/Casual,Laboral +8h (Concreto),Fatiga muscular,ORBIS,Soporte de arco constante para salud postural y eliminación de fatiga en jornadas largas.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-068,>110 kg,Amplio/Bota,Laboral +8h (Concreto),Dolor espalda/Postural,GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-069,80-110 kg,Estrecho/Slim,Laboral +8h (Concreto),Fatiga muscular,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-070,80-110 kg,Estándar/Casual,Laboral +8h (Concreto),Fatiga muscular,ORBIS,Soporte de arco constante para salud postural y eliminación de fatiga en jornadas largas.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-071,>110 kg,Amplio/Bota,Alta movilidad/Deporte,Fatiga muscular,GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-072,<80 kg,Estrecho/Slim,Urbano diario,Inestabilidad/Arco,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-073,<80 kg,Estándar/Casual,Laboral +8h (Concreto),Fatiga muscular,ORBIS,Soporte de arco constante para salud postural y eliminación de fatiga en jornadas largas.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-074,<80 kg,Estrecho/Slim,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-075,80-110 kg,Estrecho/Slim,Urbano diario,Inestabilidad/Arco,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-076,80-110 kg,Estándar/Casual,Alta movilidad/Deporte,Inestabilidad/Arco,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-077,80-110 kg,Estándar/Casual,Alta movilidad/Deporte,Dolor espalda/Postural,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-078,>110 kg,Amplio/Bota,Laboral +8h (Concreto),Dolor espalda/Postural,GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-079,80-110 kg,Estrecho/Slim,Alta movilidad/Deporte,Dolor espalda/Postural,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-080,<80 kg,Estrecho/Slim,Laboral +8h (Concreto),Fatiga muscular,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-081,>110 kg,Amplio/Bota,Laboral +8h (Concreto),Impacto (Rodilla/Cadera),GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-082,>110 kg,Amplio/Bota,Laboral +8h (Concreto),Fatiga muscular,GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-083,80-110 kg,Estrecho/Slim,Laboral +8h (Concreto),Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-084,80-110 kg,Estándar/Casual,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-085,80-110 kg,Estándar/Casual,Urbano diario,Fatiga muscular,ORBIS,Equilibrio ideal de confort y estabilidad para uso diario estándar.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-086,<80 kg,Estándar/Casual,Urbano diario,Fatiga muscular,ORBIS,Equilibrio ideal de confort y estabilidad para uso diario estándar.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-087,80-110 kg,Amplio/Bota,Urbano diario,Fatiga muscular,GOLIATH,Arquitectura robusta para calzado con mucho espacio interno.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-088,80-110 kg,Estrecho/Slim,Alta movilidad/Deporte,Inestabilidad/Arco,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-089,>110 kg,Estrecho/Slim,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-090,<80 kg,Estándar/Casual,Laboral +8h (Concreto),Fatiga muscular,ORBIS,Soporte de arco constante para salud postural y eliminación de fatiga en jornadas largas.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-091,>110 kg,Estrecho/Slim,Laboral +8h (Concreto),Fatiga muscular,VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-092,<80 kg,Amplio/Bota,Alta movilidad/Deporte,Inestabilidad/Arco,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-093,>110 kg,Estándar/Casual,Alta movilidad/Deporte,Fatiga muscular,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-094,>110 kg,Estrecho/Slim,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),VELOX,Única opción ultra-delgada que respeta el calce original del zapato estrecho.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-095,80-110 kg,Amplio/Bota,Laboral +8h (Concreto),Impacto (Rodilla/Cadera),GOLIATH,Escudo molecular PORON® XRD® para absorción de impacto extremo.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-096,<80 kg,Estándar/Casual,Urbano diario,Fatiga muscular,ORBIS,Equilibrio ideal de confort y estabilidad para uso diario estándar.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-097,<80 kg,Estándar/Casual,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-098,>110 kg,Estándar/Casual,Alta movilidad/Deporte,Dolor espalda/Postural,LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-099,>110 kg,Amplio/Bota,Urbano diario,Dolor espalda/Postural,GOLIATH,Chasis LeapCore™ soporta peso extremo y PORON® XRD® protege contra impacto seco en calzado amplio.
Antigravity_v1.2_GoldenSet,2026-02-04,2e1f50f4968a1bfa629b00ace5ec8428c8e6705172567d9b80fbb98322921be3,RW-100,80-110 kg,Amplio/Bota,Alta movilidad/Deporte,Impacto (Rodilla/Cadera),LEOPARD,Suspensión adaptable y 3 alturas de arco para movimientos dinámicos y estabilidad.
